Область,Стандарт,Число номеров в гостиницах и других средствах размещения
Центральный федеральный округ,30,161201.99
Белгородская область,14000000000,3011
Брянская область,15000000000,1916
Владимирская область,17000000000,4462
Воронежская область,20000000000,5698
Ивановская область,24000000000,1818
Калужская область,29000000000,4626
Костромская область,34000000000,1647
Курская область,38000000000,2021
Липецкая область,42000000000,2421
Московская область,46000000000,24624.99
Орловская область,54000000000,1685
Рязанская область,61000000000,2820
Смоленская область,66000000000,2583
Тамбовская область,68000000000,1612
Тверская область,28000000000,5310
Тульская область,70000000000,3647
Ярославская область,78000000000,5680
Город Москва столица Российской Федерации город федерального значения,45000000000,85619.99
Северо-Западный федеральный округ,31,73096
Республика Карелия,86000000000,3160
Республика Коми,87000000000,2520.99
Архангельская область,11000000000,4294.99
Ненецкий автономный округ (Архангельская область),11100000000,1740
Архангельская область (кроме Ненецкого автономного округа),11001000000,4121
Вологодская область,19000000000,4039.99
Калининградская область,27000000000,5484
Ленинградская область,41000000000,6097
Мурманская область,47000000000,3025
Новгородская область,49000000000,2368
Псковская область,58000000000,2377
Город Санкт-Петербург город федерального значения,40000000000,39729
Южный федеральный округ (с 2010 года),37,15609
Республика Адыгея (Адыгея),79000000000,1157
Республика Калмыкия,85000000000,480
Республика Крым,35000000000,25473
Краснодарский край,3000000000,122240
Астраханская область,12000000000,3765
Волгоградская область,18000000000,6613
Ростовская область,60000000000,10482.99
Город федерального значения Севастополь,67000000000,2522
Северо-Кавказский федеральный округ,38,15900.99
Республика Дагестан,82000000000,1888
Республика Ингушетия*,26000000000,1870
Кабардино-Балкарская Республика,83000000000,2341
Карачаево-Черкесская Республика,91000000000,2028
Республика Северная Осетия-Алания,90000000000,1151
Чеченская Республика*,96000000000,1532
Ставропольский край,7000000000,6774
Приволжский федеральный округ,33,66275
Республика Башкортостан,80000000000,6900
Республика Марий Эл,88000000000,1006
Республика Мордовия,89000000000,1549
Республика Татарстан (Татарстан),92000000000,13177
Удмуртская Республика,94000000000,2413
Чувашская Республика - Чувашия,97000000000,2242
Пермский край,57000000000,6033
Кировская область,33000000000,2405
Нижегородская область,22000000000,8673
Оренбургская область,53000000000,3993
Пензенская область,56000000000,2480
Самарская область,36000000000,8404
Саратовская область,63000000000,4588.99
Ульяновская область,73000000000,2411
Уральский федеральный округ,34,32233
Курганская область,37000000000,1489
Свердловская область,65000000000,10699.99
Тюменская область,71000000000,13408.99
Ханты-Мансийский автономный округ - Югра (Тюменская область),71100000000,5747
Ямало-Ненецкий автономный округ (Тюменская область),71140000000,2287
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001000000,5375
Челябинская область,75000000000,6634.99
Сибирский федеральный округ,35,4329
Республика Алтай,84000000000,1613
Республика Бурятия,81000000000,3145
Республика Тыва,93000000000,345
Республика Хакасия,95000000000,1228
Алтайский край,1000000000,5066.99
Забайкальский край,76000000000,2222
Красноярский край,4000000000,7017
Иркутская область,25000000000,6602.99
Кемеровская область - Кузбасс,32000000000,4735
Новосибирская область,50000000000,6634.99
Омская область,52000000000,2917
Томская область,69000000000,2957.99
Дальневосточный федеральный округ,36,6543
Республика Саха (Якутия),98000000000,1921
Камчатский край,30000000000,1335
Приморский край,5000000000,9737
Хабаровский край,8000000000,7012
Амурская область,10000000000,3134
Магаданская область,44000000000,582
Сахалинская область,64000000000,2406
Еврейская автономная область,99000000000,327
Чукотский автономный округ,77000000000,343
Крымский федеральный округ,39,5693
