,,Общий прирост постоянного населения
Нижегородская область,22000000000,-5146
Оренбургская область,53000000000,3040
Пензенская область,56000000000,-5478
Самарская область,36000000000,-4040
Саратовская область,63000000000,-22083
Ульяновская область,73000000000,-3676
Уральский федеральный округ,34,19043
Курганская область,37000000000,-4045
Свердловская область,65000000000,-1310
Тюменская область,71000000000,33241
Ханты-Мансийский автономный округ - Югра (Тюменская область),71100000000,11274
Ямало-Ненецкий автономный округ (Тюменская область),71140000000,2825
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),71001000000,19142
Челябинская область,75000000000,-8843
Республика Алтай,84000000000,619
Республика Бурятия,81000000000,3221
Республика Тыва,93000000000,2302
Республика Хакасия,95000000000,-496
Алтайский край,1000000000,-3050
Забайкальский край,76000000000,-6709
Красноярский край,4000000000,-6753
Иркутская область,25000000000,-21144
Кемеровская область - Кузбасс,32000000000,-13674
Новосибирская область,50000000000,6185
Омская область,52000000000,-10761
Томская область,69000000000,225
Республика Саха (Якутия),98000000000,5257
Камчатский край,30000000000,-1154
Приморский край,5000000000,-5675
Хабаровский край,8000000000,-4242
Амурская область,10000000000,-424
Магаданская область,44000000000,-1050
Сахалинская область,64000000000,-456
Еврейская автономная область,99000000000,-1380
Чукотский автономный округ,77000000000,781
Белгородская область,14000000000,1726
Брянская область,15000000000,-5330
Владимирская область,17000000000,-5970
Воронежская область,20000000000,809
Ивановская область,24000000000,-4685
Калужская область,29000000000,-6243
Костромская область,34000000000,-834
Курская область,38000000000,1545
Липецкая область,42000000000,-1864
Московская область,46000000000,66698
Орловская область,54000000000,-4072
Рязанская область,61000000000,-3077
Смоленская область,66000000000,-5662
Тамбовская область,68000000000,-2972
Тверская область,28000000000,-5184
Тульская область,70000000000,-9531
Ярославская область,78000000000,-4977
Город Москва столица Российской Федерации город федерального значения,45000000000,47950
Северо-Западный федеральный округ,31,63968
Республика Карелия,86000000000,-1492
Республика Коми,87000000000,-7730
Архангельская область,11000000000,-2762
Ненецкий автономный округ (Архангельская область),11100000000,430
Архангельская область (кроме Ненецкого автономного округа),11001000000,-3192
Вологодская область,19000000000,-4630
Калининградская область,27000000000,7261
Ленинградская область,41000000000,71394
Мурманская область,47000000000,-6561
Новгородская область,49000000000,-1652
Псковская область,58000000000,-4034
Город Санкт-Петербург город федерального значения,40000000000,14174
Республика Адыгея (Адыгея),79000000000,4830
Республика Калмыкия,85000000000,234
Республика Крым,35000000000,327
Краснодарский край,3000000000,25064
Астраханская область,12000000000,-6080
Волгоградская область,18000000000,-8526
Ростовская область,60000000000,-772
Город федерального значения Севастополь,67000000000,6210
Северо-Кавказский федеральный округ,38,45398
Республика Дагестан,82000000000,12715
Республика Ингушетия*,26000000000,6256
Кабардино-Балкарская Республика,83000000000,1091
Карачаево-Черкесская Республика,91000000000,166
Республика Северная Осетия-Алания,90000000000,-1572
Чеченская Республика*,96000000000,10525
Ставропольский край,7000000000,16217
Приволжский федеральный округ,33,-40708
Республика Башкортостан,80000000000,976
Республика Марий Эл,88000000000,2115
Республика Мордовия,89000000000,273
Республика Татарстан (Татарстан),92000000000,3700
Удмуртская Республика,94000000000,-2183
Чувашская Республика - Чувашия,97000000000,1283
Пермский край,57000000000,-7798
Кировская область,33000000000,-1691

